seed	classification	layout_id	rank_cells	count	total	frequency
0	straight	mask_00ff	0,1,2,3,4,5,6,7	7520724	18815065	0.39971820453450468
0	straight	mask_017f	0,1,2,3,4,5,6,8	2068890	18815065	0.10995922682169847
0	straight	mask_01bf	0,1,2,3,4,5,7,8	113833	18815065	0.0060500986842192683
0	straight	mask_01df	0,1,2,3,4,6,7,8	36439	18815065	0.0019366927512607583
0	straight	mask_01ef	0,1,2,3,5,6,7,8	894892	18815065	0.047562525029809892
0	straight	mask_01f7	0,1,2,4,5,6,7,8	87020	18815065	0.0046250172401742966
0	straight	mask_01fb	0,1,3,4,5,6,7,8	3692	18815065	0.0001962257371951678
0	straight	mask_01fd	0,2,3,4,5,6,7,8	1812	18815065	9.6305806012362966e-05
0	straight	mask_01fe	1,2,3,4,5,6,7,8	50813	18815065	0.0027006550336126926
0	straight	mask_027f	0,1,2,3,4,5,6,9	3450258	18815065	0.18337741591644779
0	straight	mask_02bf	0,1,2,3,4,5,7,9	162298	18815065	0.0086259601016525859
0	straight	mask_02df	0,1,2,3,4,6,7,9	139702	18815065	0.0074250075670745756
0	straight	mask_02ef	0,1,2,3,5,6,7,9	2446657	18815065	0.13003712716379134
0	straight	mask_02f7	0,1,2,4,5,6,7,9	66717	18815065	0.0035459351322995694
0	straight	mask_02fb	0,1,3,4,5,6,7,9	4016	18815065	0.00021344598065433206
0	straight	mask_02fd	0,2,3,4,5,6,7,9	5078	18815065	0.00026989011199270375
0	straight	mask_02fe	1,2,3,4,5,6,7,9	44144	18815065	0.0023462050224115623
0	straight	mask_033f	0,1,2,3,4,5,8,9	282945	18815065	0.015038215387509955
0	straight	mask_035f	0,1,2,3,4,6,8,9	37435	18815065	0.001989629055227819
0	straight	mask_036f	0,1,2,3,5,6,8,9	70715	18815065	0.003758424432761726
0	straight	mask_0377	0,1,2,4,5,6,8,9	43694	18815065	0.0023222880176071675
0	straight	mask_037b	0,1,3,4,5,6,8,9	11206	18815065	0.0005955865685289952
